ENSMUSG00000003555.7	Cyp17a1
ENSMUSG00000003559.7	As3mt
ENSMUSG00000003573.12	Homer3
ENSMUSG00000003575.10	Crtc1
ENSMUSG00000003581.11	Rnf215
ENSMUSG00000003585.10	Sec14l2
ENSMUSG00000003604.11	Aven
ENSMUSG00000003617.13	Cp
ENSMUSG00000003623.4	Crot
ENSMUSG00000003644.14	Rps6ka1
ENSMUSG00000003657.8	Calb2
ENSMUSG00000003660.10	Snrnp200
ENSMUSG00000003662.7	Ciao1
ENSMUSG00000003665.6	Has1
ENSMUSG00000003680.12	Taf6l
ENSMUSG00000003721.11	Insig2
ENSMUSG00000003731.10	Kpna6
ENSMUSG00000003746.12	Man1a
ENSMUSG00000003752.8	Itpkc
ENSMUSG00000003762.10	Adck4
ENSMUSG00000003778.11	Brd8
ENSMUSG00000003779.12	Kif20a
ENSMUSG00000003808.15	Farsa
ENSMUSG00000003809.11	Gcdh
ENSMUSG00000003810.9	Mast2
ENSMUSG00000003812.10	Dnase2a
ENSMUSG00000003813.12	Rad23a
ENSMUSG00000003814.8	Calr
ENSMUSG00000003824.9	Syce2
ENSMUSG00000003847.13	Nfat5
ENSMUSG00000003848.11	Nob1
ENSMUSG00000003849.8	Nqo1
ENSMUSG00000003863.13	Ppfia3
ENSMUSG00000003865.11	Gys1
ENSMUSG00000003868.9	Ruvbl2
ENSMUSG00000003872.7	Lin7b
ENSMUSG00000003873.10	Bax
ENSMUSG00000003882.4	Il7r
ENSMUSG00000003923.11	Tfam
ENSMUSG00000003929.10	Zfp81
ENSMUSG00000003934.5	Efnb3
ENSMUSG00000003948.13	Mmd
ENSMUSG00000003949.13	Hlf
ENSMUSG00000003955.7	Fam162a
ENSMUSG00000003970.8	Rpl8
ENSMUSG00000003974.6	Grm3
ENSMUSG00000003992.11	Ssbp2
ENSMUSG00000004018.6	Fancl
ENSMUSG00000004031.10	Brinp2
ENSMUSG00000004032.7	Gstm5
ENSMUSG00000004035.9	Gstm7
ENSMUSG00000004038.9	Gstm3
ENSMUSG00000004040.13	Stat3
ENSMUSG00000004043.11	Stat5a
ENSMUSG00000004044.9	Ptrf
ENSMUSG00000004054.8	Map3k11
ENSMUSG00000004056.12	Akt2
ENSMUSG00000004069.13	Dnaja3
ENSMUSG00000004070.12	Hmox2
ENSMUSG00000004071.9	Cdip1
ENSMUSG00000004085.11	Zak
ENSMUSG00000004096.8	Cwc15
ENSMUSG00000004098.7	Col5a3
ENSMUSG00000004099.12	Dnmt1
ENSMUSG00000004100.8	Ppan
ENSMUSG00000004105.7	Angptl2
ENSMUSG00000004110.11	Cacna1e
ENSMUSG00000004113.15	Cacna1b
ENSMUSG00000004127.9	Trmt10a
ENSMUSG00000004151.13	Etv1
ENSMUSG00000004187.10	Kifc2
ENSMUSG00000004207.11	Psap
ENSMUSG00000004221.13	Ikbkg
ENSMUSG00000004231.12	Pax2
ENSMUSG00000004233.11	Wars2
ENSMUSG00000004263.12	Atn1
ENSMUSG00000004264.14	Phb2
ENSMUSG00000004266.12	Ptpn6
ENSMUSG00000004267.13	Eno2
ENSMUSG00000004268.8	Emg1
ENSMUSG00000004270.10	Lpcat3
ENSMUSG00000004285.9	Atp6v1f
ENSMUSG00000004296.11	Il12b
ENSMUSG00000004317.11	Clcn5
ENSMUSG00000004319.12	Clcn3
ENSMUSG00000004328.12	Hif3a
ENSMUSG00000004341.7	Gpx6
ENSMUSG00000004344.8	Gpx5
ENSMUSG00000004347.13	Pde1c
ENSMUSG00000004356.7	Utp20
ENSMUSG00000004359.13	Spic
ENSMUSG00000004360.8	9330159F19Rik
ENSMUSG00000004364.11	Cul3
ENSMUSG00000004366.3	Sst
ENSMUSG00000004371.11	Il11
